OFFENSE_CODE,OFFENSE_CODE_GROUP,STREET
3301,Verbal Disputes,THORNTON PLACE
3115,Investigate Person,WASHINGTON ST
3115,Investigate Person,COLUMBUS AVE
3831,Auto Theft,BLUE HILL AVE
3301,Auto Theft,GIBSON ST
3802,Investigate Property,"DORCHESTER AVE & LINCOLN ST
DORCHESTER  MA 02122
U"
3207,Investigate Person,HARRISON AVE
3503,Vandalism,LEROY STREET
3831,Verbal Disputes,WASHINGTON ST
3831,Motor Vehicle Accident Response,HOLWORTHY ST
2619,Investigate Person,CASPIAN WAY
2670,Vandalism,CENTRE ST
3201,Aggravated Assault,HARRISON AVE
3831,Investigate Property,"LAWRENCE AVE & MASCOMA ST
DORCHESTER  MA 02121
UNI"
1106,Residential Burglary,WHITE ST
619,Verbal Disputes,WASHINGTON ST
3201,Motor Vehicle Accident Response,WOODCLIFF STREET
724,Verbal Disputes,W BROADWAY
301,Investigate Person,ALBANY ST
3112,Verbal Disputes,JETTE CT
619,Motor Vehicle Accident Response,WASHINGTON ST
3125,Larceny,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI"
3115,Firearm Violations,KILMARNOCK STREET
3801,Medical Assistance,"BENNINGTON ST & SARATOGA ST
EAST BOSTON  MA 02128
"
3301,Motor Vehicle Accident Response,HANCOCK ST
1831,Aggravated Assault,LONGWOOD AVENUE
1831,Simple Assault,COMMONWEALTH AVE
520,Investigate Property,PARK VALE AVE
3301,Vandalism,E SEVENTH ST
3410,Missing Person Reported,"WASHINGTON ST & ELMORE ST
BOSTON  MA 02119
UNITED "
1831,Robbery,"FAIRMOUNT AVE & TRUMAN PARKWAY
HYDE PARK  MASSACHU"
1106,Simple Assault,GIBSON ST
3111,Investigate Property,SARATOGA ST
423,Property Lost,COMMONWEALTH AVE
1831,Violations,MARTIN LUTHER KING JR BLVD
2905,Violations,"WASHINGTON ST & E CONCORD ST
BOSTON  MA 02118
UNIT"
423,Robbery,COMMONWEALTH AVE
1831,Simple Assault,GARDNER ST
1832,Firearm Violations,TREMONT ST
3801,Firearm Discovery,"CHELSEA ST & DAY SQ
EAST BOSTON  MA 02128
UNITED S"
619,Warrant Arrests,CHELSEA ST
530,Other,BENNINGTON ST
3201,Missing Person Reported,PARIS ST
2662,Aggravated Assault,HOMESTEAD ST
3114,Vandalism,VFW PKWY
3501,Ballistics,THORN ST
1402,Towed,GEORGETOWNE PL
3201,Larceny,CITY HALL SQ
1831,Missing Person Reported,SOUTHAMPTON ST
1831,Residential Burglary,ORKNEY RD
3115,Motor Vehicle Accident Response,WASHINGTON ST
724,Drug Violation,AMERICAN LEGION HWY
