INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,YEAR,MONTH,HOUR,STREET
S87066666,Verbal Disputes,VERBAL DISPUTE,B2,2022,4,19,THORNTON PLACE
225520077,Investigate Person,INVESTIGATE PERSON,D14,2022,2,0,WASHINGTON ST
223260108,Investigate Person,INVESTIGATE PERSON,D4,2022,11,9,COLUMBUS AVE
222934485,Auto Theft,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2022,5,20,BLUE HILL AVE
222924960,Auto Theft,VERBAL DISPUTE,C11,2022,4,16,GIBSON ST
222901734,Investigate Property,M/V ACCIDENT - PROPERTY DAMAGE,C11,2022,11,0,"DORCHESTER AVE & LINCOLN ST
DORCHESTER  MA 02122
U"
222879787,Investigate Person,PROPERTY - FOUND,D4,2022,11,13,HARRISON AVE
222674933,Vandalism,MISSING PERSON - NOT REPORTED - LOCATED,C11,2022,9,0,LEROY STREET
222648862,Verbal Disputes,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2022,2,18,WASHINGTON ST
222587590,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2022,6,18,HOLWORTHY ST
22254129,Investigate Person,FUGITIVE FROM JUSTICE,C11,2022,7,18,CASPIAN WAY
222480154,Vandalism,HARASSMENT/ CRIMINAL HARASSMENT,E13,2022,10,12,CENTRE ST
222465682,Aggravated Assault,PROPERTY - LOST/ MISSING,D4,2022,10,6,HARRISON AVE
222449806,Investigate Property,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2022,6,14,"LAWRENCE AVE & MASCOMA ST
DORCHESTER  MA 02121
UNI"
222409259,Residential Burglary,FRAUD - CREDIT CARD / ATM FRAUD,A7,2022,3,0,WHITE ST
222252512,Verbal Disputes,LARCENY ALL OTHERS,B2,2022,5,10,WASHINGTON ST
222241492,Motor Vehicle Accident Response,PROPERTY - LOST/ MISSING,B2,2022,6,21,WOODCLIFF STREET
222201764,Verbal Disputes,AUTO THEFT,C6,2022,1,0,W BROADWAY
222201559,Investigate Person,ROBBERY,D4,2022,3,13,ALBANY ST
222161312,Verbal Disputes,LANDLORD - TENANT,D14,2022,8,20,JETTE CT
222111641,Motor Vehicle Accident Response,LARCENY ALL OTHERS,D14,2022,2,12,WASHINGTON ST
222107076,Larceny,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),D4,2022,3,10,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI"
222094768,Firearm Violations,INVESTIGATE PERSON,D4,2022,12,20,KILMARNOCK STREET
222094729,Medical Assistance,M/V ACCIDENT - OTHER,A7,2022,12,2,"BENNINGTON ST & SARATOGA ST
EAST BOSTON  MA 02128
"
222094726,Motor Vehicle Accident Response,VERBAL DISPUTE,C11,2022,12,2,HANCOCK ST
222088916,Aggravated Assault,SICK ASSIST,B2,2022,11,11,LONGWOOD AVENUE
222094723,Simple Assault,SICK ASSIST,D14,2022,12,1,COMMONWEALTH AVE
222094714,Investigate Property,BURGLARY - RESIDENTIAL,D14,2022,12,0,PARK VALE AVE
222094712,Vandalism,VERBAL DISPUTE,C6,2022,12,23,E SEVENTH ST
222094710,Missing Person Reported,TOWED MOTOR VEHICLE,B2,2022,12,23,"WASHINGTON ST & ELMORE ST
BOSTON  MA 02119
UNITED "
222094709,Robbery,SICK ASSIST,,2022,12,0,"FAIRMOUNT AVE & TRUMAN PARKWAY
HYDE PARK  MASSACHU"
222094706,Simple Assault,FRAUD - CREDIT CARD / ATM FRAUD,C11,2022,12,23,GIBSON ST
222094705,Investigate Property,LICENSE PREMISE VIOLATION,A7,2022,12,23,SARATOGA ST
222094700,Property Lost,ASSAULT - AGGRAVATED,D14,2022,12,10,COMMONWEALTH AVE
222094698,Violations,SICK ASSIST,B2,2022,12,21,MARTIN LUTHER KING JR BLVD
222094696,Violations,VAL - VIOLATION OF AUTO LAW,D4,2022,12,21,"WASHINGTON ST & E CONCORD ST
BOSTON  MA 02118
UNIT"
222094695,Robbery,ASSAULT - AGGRAVATED,D14,2022,12,22,COMMONWEALTH AVE
222094694,Simple Assault,SICK ASSIST,D14,2022,12,21,GARDNER ST
222094693,Firearm Violations,SICK ASSIST - DRUG RELATED ILLNESS,D14,2022,12,21,TREMONT ST
222094692,Firearm Discovery,M/V ACCIDENT - OTHER,A7,2022,12,21,"CHELSEA ST & DAY SQ
EAST BOSTON  MA 02128
UNITED S"
222094687,Warrant Arrests,LARCENY ALL OTHERS,A7,2022,12,20,CHELSEA ST
