twitter_id,twitter_handle,twitter_text,created_at,hashtag,retweets
1597559146156822530,Asian Trader,Helping convenience retailers to grow their businesses since 1985. We are hosts of #ATConf and #ATAwards.,2022-11-29 11:52:36+00:00,"[{'text': 'Berkshire', 'indices': [22, 32]}, {'text': 'conveniencestore', 'indices': [73, 90]}, {'text': 'Raiders', 'indices': [91, 99]}, {'text': 'Crime', 'indices': [100, 106]}, {'text': 'shopcrime', 'indices': [107, 117]}, {'text': 'asiantrader', 'indices': [118, 130]}, {'text': 'IndustryNews', 'indices': [131, 144]}]",0
1597558964983586816,nottsonline,https://t.co/JXGDAvtgLX 07404384195 dont check messages #gonzo #vlog #vlogger #uk uk vlogger,2022-11-29 11:51:53+00:00,"[{'text': 'notts', 'indices': [0, 6]}, {'text': 'vlog', 'indices': [7, 12]}, {'text': 'news', 'indices': [13, 18]}, {'text': 'freespeech', 'indices': [19, 30]}, {'text': 'britishlife', 'indices': [31, 43]}, {'text': 'nottingham', 'indices': [44, 55]}, {'text': 'Exposed', 'indices': [87, 95]}, {'text': 'news', 'indices': [122, 127]}, {'text': 'redlight', 'indices': [128, 137]}, {'text': 'prostitution', 'indices': [138, 151]}, {'text': 'sexworkers', 'indices': [152, 163]}, {'text': 'complaints', 'indices': [220, 231]}, {'text': 'crime', 'indices': [232, 238]}, {'text': 'news', 'indices': [239, 244]}]",0
1597558097215881216,Joe Paryzek 1776,"μολὼν λαβέ Into tech, truth, justice, and The American Way.",2022-11-29 11:48:26+00:00,"[{'text': 'Warnock', 'indices': [11, 19]}, {'text': 'crime', 'indices': [46, 52]}]",0
1597557988323373056,AnnetteRochelleAben,"Award-Winning Writer, Speaker, Actress, Cook.  Get my latest BOOKS here: https://t.co/33CE7lMMFB…",2022-11-29 11:48:00+00:00,"[{'text': 'fantasy', 'indices': [36, 44]}, {'text': 'crime', 'indices': [45, 51]}, {'text': 'murder', 'indices': [52, 59]}, {'text': 'mystery', 'indices': [60, 68]}, {'text': 'bookreview', 'indices': [69, 80]}]",0
1597557362142887936,Arrive Alive,The Arrive Alive Online Initiative and Road Safety Information,2022-11-29 11:45:30+00:00,"[{'text': 'ArriveAlive', 'indices': [63, 75]}, {'text': 'Crime', 'indices': [76, 82]}, {'text': 'VehicleCrime', 'indices': [83, 96]}]",1
1597557279624232961,Indie Book Butler,"The best indie reads.
Author pages, book launches, interviews, book boosts, and more! 
Come and find your next great read!",2022-11-29 11:45:11+00:00,"[{'text': 'crime', 'indices': [206, 212]}, {'text': 'thriller', 'indices': [213, 222]}]",0
1597557237739765760,Shoutbooksy,"We provide book promotion and media services to authors. #amWriting #WritersLife
#booklover #writingcommunity #amwriting #authors",2022-11-29 11:45:01+00:00,"[{'text': 'ConspiracyThriller', 'indices': [55, 74]}, {'text': 'thriller', 'indices': [75, 84]}, {'text': 'mystery', 'indices': [85, 93]}, {'text': 'crime', 'indices': [94, 100]}, {'text': 'kindle', 'indices': [101, 108]}, {'text': 'ebook', 'indices': [109, 115]}]",1
1597556740157050881,Book Promotion,"Authors, Writers - Get Promotion For Your Kindle Books. Readers find new books and great quotes to read. https://t.co/WCCmP4DhJs",2022-11-29 11:43:02+00:00,"[{'text': 'romance', 'indices': [114, 122]}, {'text': 'murder', 'indices': [123, 130]}, {'text': 'terror', 'indices': [131, 138]}, {'text': 'series', 'indices': [139, 146]}, {'text': 'crime', 'indices': [147, 153]}, {'text': 'fiction', 'indices': [154, 162]}, {'text': 'thriller', 'indices': [163, 172]}]",0
1597556718782889984,Arrive Alive,The Arrive Alive Online Initiative and Road Safety Information,2022-11-29 11:42:57+00:00,"[{'text': 'ArriveAlive', 'indices': [94, 106]}, {'text': 'Crime', 'indices': [107, 113]}, {'text': 'RUSA', 'indices': [114, 119]}]",0
1597556545801179141,mediajiggoo,"This is the twitter page of Robert Mccarthy author of 'Bottom Shelf for Body Parts' - out now
https://t.co/Bs3pTXy4S3

Writer of the Old Man Writing blog",2022-11-29 11:42:16+00:00,"[{'text': 'crime', 'indices': [66, 72]}, {'text': 'killing', 'indices': [73, 81]}, {'text': 'booktwitter', 'indices': [82, 94]}]",0
