INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
S87066666,3301,Verbal Disputes,VERBAL DISPUTE,B2,300,0,4/7/2022 19:30,2022,4,Thursday,19,,THORNTON PLACE,0,0,"(0, 0)"
225520077,3115,Investigate Person,INVESTIGATE PERSON,D14,786,0,2/2/2022 0:00,2022,2,Wednesday,0,,WASHINGTON ST,42.34308127,-71.14172267,"(42.34308127134165, -71.14172267328729)"
223260108,3115,Investigate Person,INVESTIGATE PERSON,D4,154,0,11/22/2022 9:35,2022,11,Tuesday,9,,COLUMBUS AVE,42.3428985,-71.0788,"(42.342898500827786, -71.07880000122785)"
222934485,3831,Auto Theft,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,319,0,5/14/2022 20:50,2022,5,Saturday,20,,BLUE HILL AVE,42.30803768,-71.08359213,"(42.30803768051951, -71.08359213073199)"
222924960,3301,Auto Theft,VERBAL DISPUTE,C11,355,0,4/9/2022 16:30,2022,4,Saturday,16,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222901734,3802,Investigate Property,M/V ACCIDENT - PROPERTY DAMAGE,C11,351,0,11/27/2022 0:00,2022,11,Sunday,0,,"DORCHESTER AVE & LINCOLN ST
DORCHESTER  MA 02122
U",42.29977597,-71.060298,"(42.299775974160525, -71.06029800221413)"
222879787,3207,Investigate Person,PROPERTY - FOUND,D4,167,0,11/19/2022 13:50,2022,11,Saturday,13,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222674933,3503,Vandalism,MISSING PERSON - NOT REPORTED - LOCATED,C11,352,0,9/28/2022 0:00,2022,9,Wednesday,0,,LEROY STREET,0,0,"(0, 0)"
222648862,3831,Verbal Disputes,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,288,0,2/5/2022 18:25,2022,2,Saturday,18,,WASHINGTON ST,42.3297482,-71.08454012,"(42.329748204791635, -71.08454011649543)"
222587590,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,312,0,6/24/2022 18:30,2022,6,Friday,18,,HOLWORTHY ST,42.3167795,-71.09089034,"(42.316779499798706, -71.09089034409136)"
22254129,2619,Investigate Person,FUGITIVE FROM JUSTICE,C11,251,0,7/19/2022 18:45,2022,7,Tuesday,18,,CASPIAN WAY,0,0,"(0, 0)"
